parcours,NBR_CRD_ELP,ECTS,Semestre,COD_ELP1,LIC_ELP1,LIB,remarques,HYBRIDE,LIC_NEL1,TEM_SUS_ELP1,NB_HEURE,NB_GROUPE,CM,TD,M1MGID,M1MCRE,M1MNET,M1MTRN,M1MMCP,M1DTDM,M1MACE,M2MGID,M2MCRE,M2MNET,M2MTRN,M2MMCP,M2MACE,M2DTDM,M1Nanterre,M2Nanterre,M1ERGO,M2ERGO,M1Info,M2CPI,M1Droit,M2Droit,SoSkilled,M1Aegean,M1LasPalmas,M2Aegean,M2LasPalmas,MIP
M2MGID,3,,,DMA3EDB6,Design de l'information,Design de l'information,,,EC,N,20,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,,,DMA3EDB7,Ges. projet en Trans. Num,Gestion de projet en transformation numérique,,,EC,N,30,1,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,,,DMA3EDB8,Modèles Ges. risques info,Modèles de gestion de risques informationnels,,,EC,N,30,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,2,,,DMA3EDB9,Veille stratégique & IE,Veille stratégique et intelligence économique,,,EC,N,30,1,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,3,,,DMA3EDBA,Ges. stratégiqu de l'info,Gestion stratégique de l'information,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDC1,Ville post-numérique,Ville post-numérique,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDC2,Patrimoine augmenté,Patrimoine augmenté,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDC3,Ethnographie du numérique,Ethnographie du numérique/Digital Methods,,,EC,N,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDC4,Prospectives numériques,Prospectives numériques,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDC5,Con. collaborative & Ergo,Conception collaborative et ergonomie (intensif),,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDCB,Etat Rech. & veille Doc.,Etat de la recherche et veille documentaire,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDCC,Séminaire méthodologie,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDCD,Analyse gest° & visulat°,"Analyse, gestion, et visualisation des données massives/Big Data",,,EC,N,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA3EDCE,Enjeux techno émergnente,Enjeux des technologies émergnentes et innovantes,,,EC,N,30,1,50,50,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD1,Visualisation & valorisa°,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD2,Méthodes & outils d'Ana.,Méthodes et outils d’analyses statistiques et de fouille de données,,,EC,N,21,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD3,Standards donnéés & Modé.,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD4,Ethnographie des Prat.,,plus dans la maquette,,EC,O,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD5,Analyse visuelle et graph,Analyse visuelle et graphisme web,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD6,Design des protocoles,Design des protocoles,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MACE,6,,,DMA3EDD7,Conception universelle,Conception universelle,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,6,,,DMA3EDE1,Veille et prospective,Veille et prospective,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MTRN,6,,,DMA3EDE2,Séminaire intensif,Séminaire intensif sur la conception et l’accompagnement des transitions numériques,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,6,,,DMA4EDA1,Sémiotique des interfaces,Sémiotique des interfaces et des dispositifs numériques,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MNET,3,,,DMA4EDA2,Participation critique II,Participation critique II,,,EC,N,30,1,50,50,,,,,,,,,,30,,,30,,,,,,,,,,,,,,,
M2MCRE,3,,,DMA4EDA3,Expression pro.,Expression professionnelle en langue anglaise,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,9,,,DMA4EDA4,Analyse des cas pro.,Analyse des cas professionnels,,,EC,N,15,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MCRE,9,,,DMA4EDA5,Méthdo de la recherche,Méthdologie de la recherche,,,EC,N,30,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,,,DMA4EDB1,Etude des controverses,Etude des controverses-datavisualisation et analyse des données,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,4,,,DMA4EDB2,Sys info & Prog. internet,Système d'information et programmation internet,,,EC,N,30,1,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2MGID,10,,,DMA4EDB3,Méthod scientifq info-com,Méthodologie scientifique en information-communication,,,EC,N,15,1,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
